id,bairro,especie,tipo_area,condicao,altura_m,dap_cm,area_copa_m2,data_inventario,necessita_poda,risco_queda,latitude,longitude,co2_absorvido_kg_ano
1,Beberibe,Flamboyant,Canteiro,Ruim,14.4,28.9,2.62,2022-08-26,False,False,-8.043388,-34.830783,208.08
2,Pina,Oiti (Licania tomentosa),Praça,Ruim,18.8,7.0,0.15,2022-04-08,False,False,-7.93111,-34.835032,65.8
3,Boa Viagem,Castanhola,Canteiro,Regular,10.0,64.0,12.87,2022-11-12,True,False,-8.148769,-34.825933,320.0
4,Dois Unidos,Amendoeira (Terminalia catappa),Canteiro,Regular,4.9,7.8,0.19,2022-03-22,True,False,-8.113632,-34.832738,19.11
5,Arruda,Pau-brasil,Calçada,Boa,19.4,35.2,3.89,2022-08-18,False,False,-7.94844,-34.806986,341.44
6,Imbiribeira,Castanhola,Canteiro,Boa,8.6,64.4,13.03,2022-08-13,True,False,-8.131854,-34.84816,276.92
7,Espinheiro,Castanhola,Área de lazer,Regular,2.1,147.4,68.26,2022-04-19,False,False,-8.020571,-34.976637,154.77
8,Arruda,Amendoeira (Terminalia catappa),Parque,Ruim,8.3,29.7,2.77,2022-05-08,True,True,-7.974713,-34.833516,123.26
9,Beberibe,Castanhola,Praça,Boa,14.3,59.4,11.08,2022-03-24,False,False,-8.052181,-34.929866,424.71
10,Graças,Castanhola,Calçada,Boa,17.8,40.8,5.23,2022-07-25,False,True,-8.100885,-34.815206,363.12
11,Apipucos,Mangueira (Mangifera indica),Canteiro,Boa,2.6,100.5,31.73,2022-06-21,False,False,-7.990997,-34.905046,130.65
12,Ibura,Jaqueira,Calçada,Crítica,19.3,41.6,5.44,2022-06-26,True,False,-7.984537,-34.90373,401.44
13,Graças,Castanhola,Área de lazer,Boa,10.6,135.9,58.02,2022-12-01,False,True,-7.998235,-34.956539,720.27
14,Jordão,Cajueiro,Parque,Regular,6.5,52.3,8.59,2022-03-05,True,False,-8.125197,-34.865983,169.97
15,Espinheiro,Flamboyant,Praça,Boa,3.3,119.0,44.49,2022-06-13,False,False,-8.130141,-34.975854,196.35
16,Ibura,Ficus benjamina,Área de lazer,Regular,14.8,59.8,11.23,2022-12-25,True,False,-8.076964,-34.812529,442.52
17,Bomba do Hemetério,Sibipiruna,Parque,Crítica,12.2,62.7,12.35,2022-10-11,False,False,-8.132518,-34.845726,382.47
18,Água Fria,Castanhola,Canteiro,Crítica,16.7,148.6,69.37,2022-02-18,False,False,-7.993703,-34.787893,1240.81
19,Ibura,Castanhola,Praça,Boa,14.6,50.0,7.85,2022-06-07,False,False,-7.931628,-34.994175,365.0
20,Bomba do Hemetério,Jaqueira,Área de lazer,Regular,3.3,16.0,0.8,2022-01-22,False,False,-8.045818,-34.926544,26.4
21,Casa Forte,Cajueiro,Calçada,Boa,6.1,63.2,12.55,2022-12-19,False,False,-8.060562,-34.963255,192.76
22,Beberibe,Oiti (Licania tomentosa),Calçada,Regular,10.8,60.9,11.65,2022-08-12,False,False,-7.982916,-34.869566,328.86
23,Bomba do Hemetério,Pau-brasil,Parque,Boa,14.0,115.0,41.55,2022-08-13,True,False,-8.044185,-34.849269,805.0
24,Apipucos,Flamboyant,Canteiro,Regular,4.9,136.8,58.79,2022-02-18,True,False,-8.021208,-34.929899,335.16
25,Graças,Cajueiro,Praça,Regular,19.7,112.7,39.9,2022-06-21,False,False,-8.150321,-35.013138,1110.1
26,Graças,Castanhola,Praça,Boa,19.0,79.6,19.91,2022-12-09,False,False,-8.07576,-34.923596,756.2
27,Beberibe,Mangueira (Mangifera indica),Canteiro,Regular,14.0,71.8,16.2,2022-02-07,False,False,-8.085856,-34.868929,502.6
28,Espinheiro,Castanhola,Área de lazer,Boa,8.6,131.5,54.33,2022-10-15,False,False,-8.168176,-34.889343,565.45
29,Imbiribeira,Amendoeira (Terminalia catappa),Calçada,Boa,7.6,18.7,1.1,2022-03-19,False,False,-8.04294,-35.008202,71.06
30,Ibura,Sibipiruna,Praça,Regular,9.3,32.2,3.26,2022-10-15,False,True,-8.030303,-35.000694,149.73
31,Água Fria,Sibipiruna,Praça,Boa,15.4,135.5,57.68,2022-09-20,False,False,-8.006986,-34.857731,1043.35
32,Monteiro,Flamboyant,Calçada,Ruim,4.8,27.1,2.31,2022-02-22,True,False,-8.007278,-34.974452,65.04
33,Casa Forte,Pau-brasil,Canteiro,Boa,3.1,44.1,6.11,2022-11-13,True,True,-7.946592,-34.890746,68.36
34,Dois Unidos,Castanhola,Canteiro,Boa,14.4,64.2,12.95,2022-04-07,False,False,-8.024397,-34.868079,462.24
35,Boa Viagem,Jaqueira,Canteiro,Boa,2.4,98.2,30.3,2022-08-26,True,False,-8.156641,-34.856578,117.84
36,Jordão,Oiti (Licania tomentosa),Parque,Boa,13.1,98.9,30.73,2022-08-23,False,True,-8.08554,-34.872737,647.8
