bairro,total_arvores,co2_absorvido_ton,area_copa_m2,risco_queda,poda_necessaria
Imbiribeira,70,27.535,1654.59,7,19
Monteiro,66,25.098,1478.78,13,23
Casa Forte,60,25.277,1554.73,16,21
Beberibe,59,27.521,1693.04,9,20
Graças,56,26.708,1536.32,12,15
Pina,53,22.435,1421.31,6,20
Boa Viagem,53,22.184,1313.59,6,27
Apipucos,51,23.778,1274.96,6,20
Bomba do Hemetério,51,24.73,1404.83,5,15
Água Fria,50,24.153,1466.16,7,15
Ibura,49,22.836,1203.46,7,25
Espinheiro,47,19.762,1168.42,4,15
Dois Unidos,47,20.561,1176.55,5,17
Jordão,47,18.755,972.37,9,16
Arruda,41,16.393,916.36,5,18
