nome,bairro,area_ha,arvores_estimadas,visitantes_mes,infraestrutura
Parque Estadual Dois Irmãos,Dois Irmãos,384.0,57000,31979,Ruim
Parque da Jaqueira,Jaqueira,8.7,985,32941,Ruim
Parque 13 de Maio,Santo Amaro,4.0,756,10139,Regular
Parque Santana,Várzea,2.5,385,25666,Ruim
Jardim Botânico,Madalena,13.2,1892,22817,Ruim
Bosque de Apipucos,Apipucos,6.1,953,15763,Boa
Parque Arraial Moita Bonita,Arraial,1.8,251,3577,Regular
Parque dos Manguezais,Pina,40.0,6732,21880,Ruim
Parque Amorim,Madalena,3.3,631,28224,Regular
Mangue do Capibaribe,Várzea,25.0,2351,3744,Ruim
