id,nome_escola,bairro,nivel_ensino,matriculas_ativas,capacidade,taxa_ocupacao_pct,professores,taxa_aprovacao_pct,taxa_abandono_pct,ideb_score,infraestrutura,tem_biblioteca,tem_quadra,internet_banda_larga
1,EMEF A1 - Recife,Beberibe,Ensino Fundamental I,408,392,104.1,34,95.4,3.9,7.3,Ruim,True,False,False
2,EMEF B1 - Recife,Casa Amarela,EJA,152,186,81.7,13,89.1,2.7,7.5,Regular,True,True,True
3,EMEF C1 - Recife,Beberibe,Ensino Fundamental I,416,443,93.9,14,58.1,10.2,6.1,Ruim,True,False,True
4,EMEF D1 - Recife,Cajueiro,Educação Infantil,367,429,85.5,11,79.8,10.0,7.1,Regular,False,True,True
5,EMEF E1 - Recife,Boa Viagem,Educação Infantil,715,920,77.7,34,91.3,11.7,6.4,Ruim,True,True,True
6,EMEF F1 - Recife,Imbiribeira,Educação Infantil,291,344,84.6,9,57.2,7.8,6.4,Regular,True,True,True
7,EMEF G1 - Recife,Casa Amarela,EJA,726,830,87.5,34,84.8,1.6,4.3,Boa,False,False,False
8,EMEF H1 - Recife,Casa Amarela,EJA,575,625,92.0,12,87.7,9.2,3.1,Boa,True,False,True
9,EMEF I1 - Recife,Ibura,Ensino Fundamental I,549,706,77.8,15,66.2,9.4,3.4,Boa,True,False,True
10,EMEF J1 - Recife,Cordeiro,EJA,663,785,84.5,23,76.8,7.4,7.0,Regular,True,False,True
11,EMEF K1 - Recife,Madalena,Educação Infantil,343,277,123.8,9,55.8,2.1,3.4,Ruim,True,False,False
12,EMEF L1 - Recife,Arruda,EJA,319,272,117.3,17,74.8,6.1,6.1,Regular,True,False,True
13,EMEF M1 - Recife,Cajueiro,Educação Infantil,407,383,106.3,35,77.5,4.1,3.9,Boa,True,False,False
14,EMEF N1 - Recife,Afogados,EJA,687,684,100.4,35,66.0,11.7,6.9,Ruim,False,False,True
15,EMEF O1 - Recife,Boa Viagem,Educação Infantil,255,222,114.9,14,94.2,7.3,5.5,Regular,True,True,False
16,EMEF P1 - Recife,Campina do Barreto,Ensino Fundamental I,750,644,116.5,16,89.2,8.0,4.5,Regular,False,False,True
17,EMEF Q1 - Recife,Madalena,Educação Infantil,457,383,119.3,9,74.3,10.2,5.2,Regular,True,False,True
18,EMEF R1 - Recife,Apipucos,Ensino Fundamental I,262,213,123.0,9,94.6,7.8,4.2,Regular,True,False,True
19,EMEF S1 - Recife,Afogados,EJA,239,199,120.1,24,85.7,2.6,5.2,Regular,False,True,True
20,EMEF T1 - Recife,Imbiribeira,EJA,344,358,96.1,31,83.4,6.9,3.9,Regular,True,False,False
21,EMEF U1 - Recife,Boa Viagem,Ensino Fundamental II,464,520,89.2,28,73.5,6.3,4.6,Regular,True,False,False
22,EMEF V1 - Recife,Cajueiro,Ensino Fundamental II,503,570,88.2,24,96.1,3.9,5.2,Regular,True,False,True
23,EMEF W1 - Recife,Casa Amarela,Ensino Fundamental II,446,395,112.9,26,73.0,6.5,5.8,Regular,False,False,False
24,EMEF X1 - Recife,Madalena,EJA,704,688,102.3,13,71.6,10.5,4.9,Regular,True,False,False
25,EMEF Y1 - Recife,Madalena,Educação Infantil,599,632,94.8,26,58.3,4.3,7.4,Regular,True,False,True
26,EMEF Z1 - Recife,Campina do Barreto,Ensino Fundamental I,299,257,116.3,13,57.1,7.1,4.5,Ruim,False,False,False
27,EMEF A2 - Recife,Imbiribeira,Educação Infantil,290,257,112.8,23,80.3,6.4,4.9,Boa,False,True,False
28,EMEF B2 - Recife,Imbiribeira,Educação Infantil,644,549,117.3,10,56.3,8.8,5.2,Boa,True,False,True
29,EMEF C2 - Recife,Cajueiro,Educação Infantil,680,622,109.3,29,83.5,7.1,6.2,Boa,False,False,True
30,EMEF D2 - Recife,Afogados,Educação Infantil,461,380,121.3,24,63.1,7.8,6.2,Regular,True,False,True
31,EMEF E2 - Recife,Cordeiro,EJA,542,630,86.0,11,70.9,1.9,5.2,Boa,False,False,False
32,EMEF F2 - Recife,Boa Viagem,Ensino Fundamental II,487,618,78.8,15,93.8,0.8,3.1,Ruim,True,False,False
33,EMEF G2 - Recife,Ibura,Ensino Fundamental I,175,177,98.9,31,87.1,11.8,4.0,Regular,False,True,True
34,EMEF H2 - Recife,Madalena,EJA,269,302,89.1,13,95.8,6.1,4.8,Boa,False,True,True
