bairro,escolas,matriculas,ideb_medio,aprovacao_media,abandono_medio
Afogados,9,3837,5.9,74.78888888888889,6.366666666666666
Madalena,15,7464,5.673333333333333,69.79333333333334,5.306666666666667
Cajueiro,10,4321,5.64,75.92999999999999,5.82
Jordão,6,2212,5.633333333333333,74.96666666666667,5.616666666666667
Boa Viagem,9,4331,5.344444444444445,83.04444444444444,6.033333333333334
Arruda,6,2737,5.283333333333333,72.64999999999999,7.183333333333334
Cordeiro,10,4012,5.24,74.82000000000001,7.0
Beberibe,4,2067,5.125,76.075,6.025
Apipucos,4,1470,5.05,87.25,7.75
Ibura,12,5746,5.016666666666667,76.51666666666667,8.125
Imbiribeira,13,6007,4.9692307692307685,73.22307692307692,6.838461538461539
Casa Amarela,9,4314,4.933333333333334,80.17777777777778,5.4
Dois Unidos,5,2615,4.84,67.16,5.340000000000001
Campina do Barreto,8,4380,4.5375000000000005,78.25,6.9625
