id,data_ocorrencia,mes,ano,bairro,tipo_ocorrencia,quantidade_coletada_kg,tempo_atendimento_horas,resolvido,latitude,longitude
1,2023-11-04,11,2023,Boa Viagem,Descarte irregular em terreno baldio,586.31,16.8,True,-8.01466,-34.821564
2,2023-02-19,2,2023,Tejipió,Acúmulo de lixo em via pública,108.1,16.5,True,-8.144693,-34.960232
3,2023-11-23,11,2023,Água Fria,Falta de coleta no prazo,479.86,42.8,False,-8.1487,-34.838836
4,2023-12-14,12,2023,Beberibe,Lixeira danificada,353.19,69.0,True,-8.131451,-34.980657
5,2023-06-20,6,2023,Imbiribeira,Acúmulo de lixo em via pública,1472.98,39.1,False,-8.074293,-34.889592
6,2023-11-20,11,2023,Caxangá,Entulho em área pública,424.96,5.9,True,-7.995386,-34.802956
7,2023-04-28,4,2023,Aflitos,Falta de coleta no prazo,592.05,46.1,True,-8.075964,-34.958099
8,2023-05-23,5,2023,Graças,Entulho em área pública,1288.21,38.9,True,-8.057548,-34.94601
9,2023-11-23,11,2023,Água Fria,Ponto viciado de descarte irregular,1385.0,60.8,False,-8.10419,-34.99358
10,2023-06-13,6,2023,Imbiribeira,Acúmulo de lixo em via pública,461.42,67.9,False,-8.087064,-34.868912
11,2023-07-21,7,2023,Ibura,Ponto viciado de descarte irregular,566.52,18.5,True,-8.097452,-34.883083
12,2023-10-13,10,2023,Caxangá,Ponto viciado de descarte irregular,1994.79,10.8,True,-7.998844,-34.827779
13,2023-03-21,3,2023,Madalena,Descarte irregular em terreno baldio,873.21,5.5,True,-7.950776,-34.894177
14,2023-09-28,9,2023,Boa Viagem,Descarte irregular em terreno baldio,1455.41,49.4,True,-8.096635,-34.871808
15,2023-02-10,2,2023,Tejipió,Ponto viciado de descarte irregular,934.76,68.7,False,-8.097322,-34.899883
16,2023-03-17,3,2023,Aflitos,Descarte irregular em terreno baldio,631.97,46.4,True,-8.119432,-34.847498
17,2023-09-25,9,2023,Dois Unidos,Acúmulo de lixo em via pública,1217.94,35.7,True,-8.077404,-34.802936
18,2023-05-08,5,2023,Casa Forte,Ponto viciado de descarte irregular,1762.12,68.2,True,-8.052802,-34.986157
19,2023-09-25,9,2023,Espinheiro,Ponto viciado de descarte irregular,1336.51,68.2,True,-8.044465,-34.878681
20,2023-04-18,4,2023,Torre,Descarte irregular em terreno baldio,657.85,71.7,True,-8.06238,-34.896485
