bairro,total_ocorrencias,resolvidas,tempo_medio_horas,total_coletado_kg,taxa_resolucao_pct
Espinheiro,35,27,39.817142857142855,36343.24,77.14
Água Fria,34,26,36.682352941176475,35381.7,76.47
Imbiribeira,29,19,38.55862068965517,35686.32,65.52
Pina,29,24,37.141379310344824,23851.34,82.76
Tejipió,27,21,36.81111111111111,29020.15,77.78
Beberibe,27,20,33.522222222222226,21163.82,74.07
Várzea,26,21,35.90384615384615,25600.56,80.77
Ibura,25,15,32.431999999999995,28804.16,60.0
Jordão,25,23,42.976000000000006,26896.670000000002,92.0
Caxangá,25,15,35.184,24782.33,60.0
Aflitos,24,21,42.3375,26183.73,87.5
Boa Viagem,24,21,27.900000000000002,20430.13,87.5
Casa Forte,24,20,43.104166666666664,20933.31,83.33
Graças,24,19,42.12083333333333,30498.21,79.17
Dois Unidos,23,17,35.67391304347826,23567.34,73.91
Encruzilhada,22,17,35.309090909090905,23957.3,77.27
Torre,22,13,44.377272727272725,18627.96,59.09
Madalena,20,18,30.625,19208.97,90.0
Mustardinha,18,15,34.55,22161.62,83.33
Iputinga,17,13,43.182352941176475,16104.25,76.47
