id,tipo_obra,bairro,secretaria,status,data_inicio,prazo_previsto,valor_contrato_r$,percentual_executado,empresa_contratada,numero_licenca,area_construcao_m2,atraso
1,Ciclovia,Boa Vista,SEINFRA,Em andamento,2021-06-05,2022-10-12,408559.62,42.3,Construtora A Ltda,LIC-2021-10000,4557.5,1310
2,Ponte/viaduto,Torre,SEINFRA,Licitação,2021-04-02,2021-09-27,2119952.15,9.6,Construtora B Ltda,LIC-2022-10001,4151.6,1690
3,Construção de escola,Boa Viagem,CTTU,Em andamento,2021-02-08,2022-12-26,2906659.6,31.3,Construtora C Ltda,LIC-2023-10002,4306.5,1235
4,Calçamento,Derby,CTTU,Em andamento,2021-05-14,2022-01-06,2876022.76,44.3,Construtora D Ltda,LIC-2024-10003,2898.9,1589
5,Iluminação pública,Cordeiro,CTTU,Em andamento,2021-04-12,2021-10-18,2843623.05,48.9,Construtora E Ltda,LIC-2021-10004,2195.2,1669
6,Calçamento,Encruzilhada,EMLURB,Licitação,2021-06-15,2023-05-05,1839832.66,9.9,Construtora F Ltda,LIC-2022-10005,501.1,1105
7,Drenagem pluvial,Derby,CTTU,Paralisada,2021-05-17,2023-01-03,3660754.18,11.5,Construtora G Ltda,LIC-2023-10006,2148.8,1227
8,Ponte/viaduto,Boa Vista,Secretaria de Educação,Licitação,2021-06-05,2023-01-16,244075.92,26.7,Construtora H Ltda,LIC-2024-10007,1766.6,1214
9,Reforma de UBS,Madalena,SEINFRA,Licitação,2021-06-20,2023-02-08,390376.6,3.7,Construtora I Ltda,LIC-2021-10008,397.3,1191
10,Ciclovia,Boa Viagem,Secretaria de Saúde,Licitação,2021-12-10,2023-10-22,1458747.88,15.4,Construtora J Ltda,LIC-2022-10009,1841.8,935
11,Construção de escola,Torre,Secretaria de Saúde,Em andamento,2021-10-04,2023-05-22,1130128.49,22.7,Construtora K Ltda,LIC-2023-10010,4592.4,1088
12,Calçamento,Monteiro,Secretaria de Saúde,Licitação,2021-08-03,2022-04-20,2038139.07,11.1,Construtora L Ltda,LIC-2024-10011,4333.5,1485
13,Construção de escola,Santo Amaro,SEINFRA,Paralisada,2021-05-23,2022-10-20,3429479.14,15.2,Construtora M Ltda,LIC-2021-10012,963.5,1302
14,Reforma de UBS,Pina,SEINFRA,Em andamento,2021-04-22,2022-03-16,2450565.52,46.5,Construtora N Ltda,LIC-2022-10013,813.8,1520
15,Ponte/viaduto,Boa Vista,SEINFRA,Paralisada,2021-09-12,2023-08-27,4767834.73,27.6,Construtora O Ltda,LIC-2023-10014,2337.6,991
16,Iluminação pública,Cordeiro,Secretaria de Saúde,Licitação,2021-11-26,2023-09-19,2020444.67,15.8,Construtora P Ltda,LIC-2024-10015,405.0,968
17,Drenagem pluvial,Boa Viagem,CTTU,Concluída,2021-02-07,2022-08-02,594145.11,92.0,Construtora Q Ltda,LIC-2021-10016,841.2,0
18,Praça pública,Santo Amaro,Secretaria de Educação,Em andamento,2021-02-12,2023-01-31,398062.1,16.4,Construtora R Ltda,LIC-2022-10017,4781.8,1199
19,Iluminação pública,Madalena,Secretaria de Saúde,Em andamento,2021-10-12,2023-05-10,620999.9,38.6,Construtora S Ltda,LIC-2023-10018,1628.1,1100
20,Ponte/viaduto,Boa Viagem,EMLURB,Paralisada,2021-03-04,2022-05-18,2419178.62,27.7,Construtora T Ltda,LIC-2024-10019,4759.8,1457
21,Drenagem pluvial,Encruzilhada,Secretaria de Educação,Em andamento,2021-09-12,2022-05-10,3802807.65,23.5,Construtora A Ltda,LIC-2021-10020,2640.1,1465
22,Construção de escola,Casa Forte,EMLURB,Paralisada,2021-03-12,2022-01-24,3200387.53,24.5,Construtora B Ltda,LIC-2022-10021,4109.8,1571
23,Pavimentação,Boa Viagem,Secretaria de Educação,Concluída,2021-12-26,2022-11-13,2612311.69,87.1,Construtora C Ltda,LIC-2023-10022,2414.0,0
24,Ciclovia,Imbiribeira,SEINFRA,Paralisada,2021-04-23,2023-04-02,2263777.0,37.5,Construtora D Ltda,LIC-2024-10023,1180.3,1138
25,Esgotamento sanitário,Monteiro,SEINFRA,Paralisada,2021-04-16,2022-02-01,1061648.15,25.0,Construtora E Ltda,LIC-2021-10024,2449.4,1563
26,Construção de escola,Madalena,EMLURB,Em andamento,2021-11-12,2022-05-07,4553396.83,61.8,Construtora F Ltda,LIC-2022-10025,2226.2,1468
27,Drenagem pluvial,Encruzilhada,EMLURB,Licitação,2021-11-11,2022-05-08,2342644.67,29.7,Construtora G Ltda,LIC-2023-10026,933.0,1467
28,Esgotamento sanitário,Madalena,Secretaria de Educação,Licitação,2021-03-01,2021-10-31,4042184.81,5.8,Construtora H Ltda,LIC-2024-10027,864.0,1656
29,Drenagem pluvial,Recife Antigo,EMLURB,Em andamento,2021-09-05,2021-12-25,4006817.21,57.4,Construtora I Ltda,LIC-2021-10028,2225.7,1601
30,Construção de escola,Casa Forte,CTTU,Em andamento,2021-04-27,2022-02-27,1296582.32,23.1,Construtora J Ltda,LIC-2022-10029,1697.3,1537
31,Iluminação pública,Cordeiro,CTTU,Em andamento,2021-09-14,2022-04-26,4554584.43,27.9,Construtora K Ltda,LIC-2023-10030,4093.7,1479
32,Pavimentação,Monteiro,Secretaria de Saúde,Concluída,2021-09-14,2023-05-10,2682533.56,90.5,Construtora L Ltda,LIC-2024-10031,3904.9,0
33,Drenagem pluvial,Recife Antigo,SEINFRA,Concluída,2021-10-01,2022-06-01,750716.91,92.4,Construtora M Ltda,LIC-2021-10032,1697.3,0
34,Ponte/viaduto,Boa Viagem,EMLURB,Licitação,2021-09-17,2023-07-07,3932148.75,4.2,Construtora N Ltda,LIC-2022-10033,1037.4,1042
35,Drenagem pluvial,Madalena,Secretaria de Educação,Licitação,2021-01-25,2021-08-03,2830560.46,30.4,Construtora O Ltda,LIC-2023-10034,3101.4,1745
36,Ponte/viaduto,Casa Forte,Secretaria de Saúde,Concluída,2021-09-20,2023-05-27,3479018.46,89.0,Construtora P Ltda,LIC-2024-10035,2588.0,0
37,Construção de escola,Monteiro,Secretaria de Saúde,Paralisada,2021-04-23,2023-01-08,4617781.86,35.7,Construtora Q Ltda,LIC-2021-10036,772.0,1222
38,Drenagem pluvial,Afogados,Secretaria de Educação,Paralisada,2021-02-13,2022-08-09,409103.19,9.6,Construtora R Ltda,LIC-2022-10037,3941.3,1374
39,Iluminação pública,Afogados,SEINFRA,Concluída,2021-03-23,2022-06-30,1302883.8,82.7,Construtora S Ltda,LIC-2023-10038,2051.5,0
40,Praça pública,Imbiribeira,Secretaria de Saúde,Concluída,2021-08-06,2022-06-21,3546301.58,99.9,Construtora T Ltda,LIC-2024-10039,1059.1,0
41,Pavimentação,Torre,Secretaria de Educação,Em andamento,2021-06-03,2022-09-10,1722999.45,36.2,Construtora A Ltda,LIC-2021-10040,2635.4,1342
42,Drenagem pluvial,Derby,Secretaria de Educação,Em andamento,2021-05-17,2021-10-19,4926162.06,62.3,Construtora B Ltda,LIC-2022-10041,1432.4,1668
43,Reforma de UBS,Torre,EMLURB,Licitação,2021-03-09,2021-10-17,4255459.74,27.0,Construtora C Ltda,LIC-2023-10042,2729.3,1670
44,Calçamento,Torre,SEINFRA,Paralisada,2021-09-19,2023-05-08,492837.93,2.3,Construtora D Ltda,LIC-2024-10043,1417.7,1102
45,Drenagem pluvial,Pina,SEINFRA,Paralisada,2021-01-21,2021-07-20,464525.5,34.2,Construtora E Ltda,LIC-2021-10044,2323.5,1759
46,Construção de escola,Derby,EMLURB,Paralisada,2021-06-18,2022-11-17,3127432.1,1.7,Construtora F Ltda,LIC-2022-10045,1383.3,1274
47,Iluminação pública,Recife Antigo,EMLURB,Paralisada,2021-03-07,2022-04-20,2678874.91,8.2,Construtora G Ltda,LIC-2023-10046,1425.6,1485
48,Construção de escola,Recife Antigo,Secretaria de Saúde,Em andamento,2021-01-09,2021-05-16,141247.79,39.9,Construtora H Ltda,LIC-2024-10047,1303.8,1824
49,Ponte/viaduto,Pina,EMLURB,Licitação,2021-08-04,2023-01-18,2752235.95,35.5,Construtora I Ltda,LIC-2021-10048,4914.0,1212
50,Calçamento,Boa Viagem,SEINFRA,Licitação,2021-06-07,2022-01-26,4947718.43,39.3,Construtora J Ltda,LIC-2022-10049,3164.7,1569
51,Ponte/viaduto,Cordeiro,Secretaria de Educação,Em andamento,2021-05-14,2022-01-26,468200.12,66.5,Construtora K Ltda,LIC-2023-10050,3034.0,1569
52,Pavimentação,Pina,Secretaria de Educação,Licitação,2021-12-10,2022-04-25,967492.54,10.8,Construtora L Ltda,LIC-2024-10051,4812.8,1480
53,Ciclovia,Santo Amaro,SEINFRA,Em andamento,2021-09-11,2022-08-17,4830050.51,24.5,Construtora M Ltda,LIC-2021-10052,1743.1,1366
54,Drenagem pluvial,Pina,SEINFRA,Concluída,2021-02-16,2022-02-26,1278488.0,95.5,Construtora N Ltda,LIC-2022-10053,804.9,0
55,Drenagem pluvial,Boa Vista,CTTU,Em andamento,2021-10-02,2023-02-07,1533247.99,49.7,Construtora O Ltda,LIC-2023-10054,4280.9,1192
56,Iluminação pública,Santo Amaro,Secretaria de Educação,Licitação,2021-03-22,2023-02-20,3833341.16,28.8,Construtora P Ltda,LIC-2024-10055,3648.4,1179
57,Calçamento,Apipucos,CTTU,Licitação,2021-11-05,2022-03-19,3682568.01,32.5,Construtora Q Ltda,LIC-2021-10056,3789.0,1517
58,Ciclovia,Derby,Secretaria de Saúde,Concluída,2021-10-27,2022-02-10,471203.93,80.8,Construtora R Ltda,LIC-2022-10057,4195.5,0
59,Drenagem pluvial,Encruzilhada,CTTU,Concluída,2021-09-02,2021-12-20,2472006.86,80.1,Construtora S Ltda,LIC-2023-10058,4499.5,0
60,Drenagem pluvial,Monteiro,Secretaria de Educação,Em andamento,2021-02-22,2022-11-12,3741353.15,37.4,Construtora T Ltda,LIC-2024-10059,1250.4,1279
61,Reforma de UBS,Casa Forte,SEINFRA,Licitação,2021-04-08,2022-10-21,4235379.69,3.1,Construtora A Ltda,LIC-2021-10060,3123.2,1301
62,Reforma de UBS,Boa Vista,CTTU,Concluída,2021-11-07,2022-04-25,1692276.05,93.0,Construtora B Ltda,LIC-2022-10061,753.9,0
63,Construção de escola,Cordeiro,Secretaria de Saúde,Paralisada,2021-08-02,2023-03-12,4863919.6,4.0,Construtora C Ltda,LIC-2023-10062,1525.2,1159
64,Ponte/viaduto,Afogados,Secretaria de Educação,Licitação,2021-09-10,2023-03-29,2358378.81,4.7,Construtora D Ltda,LIC-2024-10063,4892.8,1142
65,Iluminação pública,Pina,Secretaria de Saúde,Licitação,2021-08-01,2022-08-22,428498.0,20.3,Construtora E Ltda,LIC-2021-10064,1128.2,1361
66,Ciclovia,Santo Amaro,CTTU,Em andamento,2021-04-03,2023-02-17,751616.36,41.4,Construtora F Ltda,LIC-2022-10065,4119.1,1182
67,Iluminação pública,Torre,SEINFRA,Paralisada,2021-09-09,2022-04-02,1195348.84,35.9,Construtora G Ltda,LIC-2023-10066,879.4,1503
68,Ciclovia,Torre,Secretaria de Educação,Licitação,2021-08-22,2023-02-24,1544657.65,5.6,Construtora H Ltda,LIC-2024-10067,692.5,1175
69,Construção de escola,Encruzilhada,SEINFRA,Paralisada,2021-06-01,2022-07-28,4203598.43,4.8,Construtora I Ltda,LIC-2021-10068,4517.7,1386
70,Esgotamento sanitário,Derby,Secretaria de Educação,Em andamento,2021-05-09,2022-08-23,1994851.94,78.9,Construtora J Ltda,LIC-2022-10069,4634.5,1360
71,Reforma de UBS,Cordeiro,EMLURB,Paralisada,2021-05-28,2021-10-14,553463.8,33.4,Construtora K Ltda,LIC-2023-10070,1321.7,1673
72,Praça pública,Apipucos,SEINFRA,Paralisada,2021-05-14,2023-01-17,989752.78,14.9,Construtora L Ltda,LIC-2024-10071,4078.6,1213
73,Praça pública,Madalena,CTTU,Concluída,2021-11-13,2023-09-01,3611884.28,81.0,Construtora M Ltda,LIC-2021-10072,3788.1,0
74,Calçamento,Santo Amaro,Secretaria de Saúde,Licitação,2021-11-28,2022-12-16,292435.68,37.1,Construtora N Ltda,LIC-2022-10073,2132.8,1245
75,Iluminação pública,Recife Antigo,Secretaria de Saúde,Paralisada,2021-05-10,2022-04-26,2060735.86,9.5,Construtora O Ltda,LIC-2023-10074,686.7,1479
76,Ponte/viaduto,Afogados,Secretaria de Saúde,Concluída,2021-11-06,2022-04-21,2527993.72,96.2,Construtora P Ltda,LIC-2024-10075,4540.7,0
77,Ponte/viaduto,Derby,Secretaria de Educação,Concluída,2021-08-14,2022-04-03,1258223.88,83.5,Construtora Q Ltda,LIC-2021-10076,1271.7,0
78,Praça pública,Torre,Secretaria de Saúde,Concluída,2021-05-26,2023-03-30,4441894.72,95.0,Construtora R Ltda,LIC-2022-10077,3754.6,0
79,Esgotamento sanitário,Imbiribeira,EMLURB,Paralisada,2021-04-13,2022-04-14,3772949.47,19.9,Construtora S Ltda,LIC-2023-10078,3465.1,1491
80,Praça pública,Cordeiro,Secretaria de Saúde,Em andamento,2021-09-21,2022-07-29,1391553.36,19.6,Construtora T Ltda,LIC-2024-10079,2216.0,1385
81,Iluminação pública,Boa Vista,Secretaria de Saúde,Concluída,2021-05-28,2021-09-17,209605.29,94.2,Construtora A Ltda,LIC-2021-10080,100.9,0
