tipo_obra,quantidade,valor_total,exec_media
Drenagem pluvial,43,119627764.17,36.52093023255814
Construção de escola,33,87793659.14,31.581818181818182
Praça pública,31,69738060.5,43.148387096774194
Iluminação pública,31,65396052.3,40.09032258064516
Esgotamento sanitário,31,73565226.59,42.88387096774194
Pavimentação,30,86191765.19,45.91
Ponte/viaduto,27,68422742.87,46.75185185185185
Calçamento,25,55528214.79,38.544000000000004
Reforma de UBS,25,59606561.92,46.012
Ciclovia,24,47463176.71,34.175000000000004
