id,tipo_ocorrencia,bairro,nivel_risco_bairro,mes,ano,turno,vitimas,prisoes_efetuadas,latitude,longitude
1,Roubo a pedestre,Imbiribeira,médio,10,2022,Tarde (12h-18h),0,0,-7.995033,-34.892605
2,Roubo a pedestre,Graças,baixo,10,2023,Manhã (6h-12h),1,0,-7.979773,-34.830804
3,Furto,Aflitos,baixo,11,2022,Manhã (6h-12h),1,1,-8.088686,-34.792754
4,Tráfico de drogas,Casa Amarela,médio,2,2023,Tarde (12h-18h),0,0,-8.067951,-34.932992
5,Roubo a veículo,Recife Antigo,médio,8,2022,Noite (18h-00h),3,0,-8.118202,-34.799017
6,Tráfico de drogas,Beberibe,alto,8,2022,Madrugada (00h-6h),1,0,-8.164407,-34.906306
7,Roubo a pedestre,Aflitos,baixo,7,2022,Manhã (6h-12h),1,0,-8.137404,-34.922721
8,Lesão corporal,Recife Antigo,médio,1,2022,Tarde (12h-18h),1,1,-8.139676,-34.794075
9,Arrombamento,Torre,médio,3,2022,Noite (18h-00h),1,0,-8.135521,-34.978208
10,Roubo a pedestre,Beberibe,alto,4,2023,Noite (18h-00h),1,1,-8.141869,-34.822636
11,Tráfico de drogas,Beberibe,alto,9,2023,Manhã (6h-12h),2,0,-8.079526,-34.939179
12,Furto,Espinheiro,baixo,7,2023,Noite (18h-00h),0,0,-8.080481,-34.814286
13,Roubo a pedestre,Espinheiro,baixo,5,2022,Noite (18h-00h),1,1,-7.997026,-34.967535
14,Tráfico de drogas,Espinheiro,baixo,12,2022,Tarde (12h-18h),1,1,-7.958195,-34.918934
15,Furto,Recife Antigo,médio,9,2023,Madrugada (00h-6h),2,1,-8.042021,-34.796841
16,Roubo a pedestre,Água Fria,alto,5,2023,Madrugada (00h-6h),2,0,-8.07905,-34.857196
17,Perturbação da ordem,Aflitos,baixo,11,2023,Manhã (6h-12h),1,0,-8.168965,-34.934731
18,Arrombamento,Água Fria,alto,4,2022,Noite (18h-00h),0,0,-7.989364,-34.850498
19,Lesão corporal,Imbiribeira,médio,6,2023,Manhã (6h-12h),1,0,-8.044696,-34.792023
20,Perturbação da ordem,Graças,baixo,9,2023,Madrugada (00h-6h),0,1,-8.069959,-34.88551
21,Roubo a veículo,Casa Forte,baixo,11,2023,Tarde (12h-18h),0,0,-8.0962,-34.880677
22,Roubo a pedestre,Ibura,alto,6,2023,Manhã (6h-12h),0,1,-8.075281,-34.83058
23,Roubo a pedestre,Água Fria,alto,3,2022,Madrugada (00h-6h),2,0,-8.076635,-34.885148
24,Furto,Graças,baixo,5,2022,Tarde (12h-18h),1,1,-8.078163,-34.8216
25,Perturbação da ordem,Recife Antigo,médio,10,2023,Noite (18h-00h),3,0,-7.930676,-34.894438
26,Roubo a pedestre,Jordão,alto,8,2022,Tarde (12h-18h),1,0,-8.042077,-34.867958
27,Furto,Madalena,baixo,5,2022,Manhã (6h-12h),2,0,-8.158538,-34.897279
28,Lesão corporal,Casa Amarela,médio,3,2023,Manhã (6h-12h),1,0,-8.124765,-34.903681
29,Roubo a pedestre,Água Fria,alto,6,2022,Noite (18h-00h),0,0,-8.001563,-34.863376
30,Roubo a pedestre,Aflitos,baixo,12,2022,Noite (18h-00h),2,0,-8.149238,-34.837796
31,Furto,Casa Forte,baixo,6,2022,Noite (18h-00h),1,0,-8.088378,-35.007325
32,Lesão corporal,Boa Viagem,médio,7,2022,Tarde (12h-18h),1,0,-8.015704,-34.894902
33,Furto,Recife Antigo,médio,7,2022,Noite (18h-00h),3,0,-7.994079,-34.875411
34,Furto,Recife Antigo,médio,3,2022,Noite (18h-00h),1,0,-8.159056,-34.924834
35,Homicídio,Água Fria,alto,3,2022,Madrugada (00h-6h),2,0,-8.140335,-34.917401
36,Furto,Jordão,alto,3,2023,Madrugada (00h-6h),1,1,-7.937502,-34.929603
37,Roubo a veículo,Água Fria,alto,9,2022,Noite (18h-00h),0,1,-8.100694,-34.924109
38,Tráfico de drogas,Casa Amarela,médio,4,2022,Noite (18h-00h),3,0,-8.014527,-34.980679
39,Furto,Madalena,baixo,1,2022,Madrugada (00h-6h),0,1,-8.018977,-35.005295
40,Furto,Recife Antigo,médio,10,2023,Manhã (6h-12h),2,0,-8.075002,-34.781982
41,Furto,Torre,médio,10,2022,Tarde (12h-18h),0,1,-8.148161,-34.899529
42,Tráfico de drogas,Dois Unidos,alto,8,2022,Noite (18h-00h),0,0,-7.952505,-34.978341
43,Tráfico de drogas,Torre,médio,4,2022,Madrugada (00h-6h),0,0,-8.008659,-34.89892
44,Arrombamento,Aflitos,baixo,2,2022,Tarde (12h-18h),0,1,-8.075097,-34.885263
45,Roubo a pedestre,Dois Unidos,alto,10,2023,Noite (18h-00h),0,0,-7.943607,-34.915178
46,Furto,Boa Viagem,médio,1,2023,Manhã (6h-12h),2,0,-8.167567,-34.892725
47,Tráfico de drogas,Dois Unidos,alto,2,2022,Tarde (12h-18h),0,0,-8.107509,-34.911425
